Vendor String,Family,Model,Stepping,Brand String,`fldcw` is waiting?
AuthenticAMD,14,2, 0,AMD E-300 APU with Radeon(tm) HD Graphics,1
AuthenticAMD,19,50, 0,AMD Ryzen 7 5825U with Radeon Graphics         ,1
GenuineIntel,6,3C, 3,Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,1
GenuineIntel,6,5E, 3,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,1
GenuineIntel,6,8, 3,,1
GenuineIntel,6,3A, 9,       Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz,1
AuthenticAMD,19,50, 0,AMD Ryzen 9 5900HS with Radeon Graphics        ,1
AuthenticAMD,1A,44, 0,AMD Ryzen 9 9950X3D 16-Core Processor          ,1
AMD,6,8, 1,AMD Athlon(tm) XP 2000+,1
AuthenticAMD,10,A, 0,AMD Phenom(tm) II X4 960T Processor,1
GenuineIntel,6,3A, 9,  Intel(R) Core(TM) i7-3632QM CPU @ 2.20GHz,1
GenuineIntel,6,3C, 3,Intel(R) Core(TM) i7-4770K CPU @ 3.50GHz,1
GenuineIntel,6,4C, 3,  Intel(R) Atom(TM) x5-Z8300  CPU @ 1.44GHz,1
GenuineIntel,6,1C, A,  Intel(R) Atom(TM) CPU N455   @ 1.66GHz,1
GenuineIntel,6,9E, C,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,1
AuthenticAMD,17,60, 1,AMD Ryzen 7 4700U with Radeon Graphics         ,1
GenuineIntel,6,BA, 2,13th Gen Intel(R) Core(TM) i7-13620H,1
